Code	Proposal	n1	n2	n3	year_pres	presented	published	presented_date	1st debate	pri_debate	2nd debate	seg_debate	Approval	Ex Signature	p_veto	published_data	Min de la Ley	Decree	Executive	MP	Party	Commission	Other	na	No. MPs	Multiple parties	Territory	t_pres_1deb	t_pres_2deb	Exe sign	t_pres_exe	t(pres-pub)	t(pres-pub)	t(1std-2ndd)	t(1std-exe)	t(1sd-pub)	t(2nd-exesign)	t(2nd-pub)	t(exesign-pub)	1erd	2nd	DiasGob	1/15/07	DiasGob2
1	Ley para la equidad tributaria	A2	P1	B2	2007	1	1	12/17/07					12/28/07			12/29/07		0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	348		348
2	"Ley orgánica de transporte terrestre, tránsito y seguridad"	A1	P1	B2	2008	1	1	1/4/08					7/24/08			8/7/08		0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	570		570
3	Ley para la recuperación del uso de los recursos petroleros del estado y para la racionalización administrativa de los procesos de endeudamiento	A5	P1	B2	2008	1	1	1/11/08	2/15/08	1			4/2/08			4/9/08		0	1	0	0	0	0	0			0	35	 			0	0	 	 	54	 	 	 	1	0	450		450
4	"Ley Reformatoria a la “Junta de Recursos Hidráulicos y Obras Básicas de los Cantones Jipijapa, Paján y Puerto López”"	A8	P0	B3	2008	1	0	3/24/08										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
5	Ley Orgánica Integral sobre el VIH-SIDA 	A9	P0	B4	2008	1	0	3/27/08										0	0	0	0	0	1	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
6	Ley orgánica reformatoria e interpretativa a la ley de equidad tributaria	A2	P1	B2	2008	1	1	4/17/08					7/21/08			7/28/08		0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	560		560
7	Ley Reformatoria al Código de Ejecución de Penas	A3	P1	B3	2008	1	1	4/24/08					7/21/08			7/31/08		0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	563		563
8	Ley orgánica de contratación pública	A1	P1	B2	2008	1	1	5/1/08					7/22/08			8/4/08		0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	567		567
9	Ley de defensa del comerciante minorista y trabajador autónomo	A5	P0	B3	2008	1	0	10/8/08										0	0	1	0	0	0	0	8	1	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
10	Derogatoria al artículo 139 de la ley de transporte terrestre tránsito y seguridad vial	A1	P1	B3	2008	1	1	10/30/08	12/10/08	1	12/23/08	1	12/23/08		0	1/9/09		0	0	1	0	0	0	0	7	0	0	41	54			0	0	13	 	30	 	17	 	1	1	725		725
11	Ley defensa del comerciante minorista y trabajador autónomo	A5	P0	B5	2008	1	0	10/30/08	6/15/09	1	2/14/11	1	2/14/11	3/14/11	0			0	0	0	1	0	0	0			0	228	837	3/14/11	865	0	0	609	637	 	28	 	 	1	1	-39097		0
12	Orgánica de creación de la red de seguridad financiera	A5	P1	B2	2008	1	1	11/5/08	11/28/08	1	12/10/08	1	12/10/08	12/24/08	1	12/31/08		0	1	0	0	0	0	0			0	23	35	12/24/08	49	0	0	12	26	33	14	21	7	1	1	716		716
13	Ley orgánica reformatoria e intepretativa al mandato constituyente 2	A7	P1	B2	2008	1	1	11/11/08	12/3/08	1	12/30/08	1	12/30/08	1/19/09	1			0	1	0	0	0	0	0			0	22	49	1/19/09	69	0	0	27	47	 	20	 	 	1	1	-39097		0
14	Ley orgánica de minería	A5	P1	B2	2008	1	1	11/14/08	12/12/08	1	1/12/09	1	1/12/09	1/19/09	1			0	1	0	0	0	0	0			0	28	59	1/19/09	66	0	0	31	38	 	7	 	 	1	1	-39097		0
15	Ley orgánica de servicio exterior	A6	P1	B2	2008	1	1	11/19/08	12/17/08	1	12/30/08	1	12/30/08	1/13/09	1			0	1	0	0	0	0	0			0	28	41	1/13/09	55	0	0	13	27	 	14	 	 	1	1	-39097		0
16	Reformatoria a la ley de régimen tributario interno y a la ley reformatoria para la equidad tributaria	A2	P1	B2	2008	1	1	11/20/08	12/9/08	1	12/17/08	1	12/17/08	12/24/08	0	12/30/08		0	1	0	0	0	0	0			0	19	27	12/24/08	34	0	0	8	15	21	7	13	6	1	1	715		715
17	Ley orgánica reformatoria al mandato constituyente 23	A7	P1	B3	2008	1	1	11/20/08	12/19/08	1	7/8/09	1	7/8/09	7/15/09	0	7/22/09		0	0	1	0	0	0	0	5	0	0	29	230	7/15/09	237	0	0	201	208	215	7	14	7	1	1	919		919
18	Reformatoria al código de procedimiento penal	A3	P0	B2	2008	1	0	11/28/08										0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
19	Orgánica de extinción de dominio	A1	P0	B3	2008	1	0	12/1/08	2/26/09	1								0	0	1	0	0	0	0	4	0	0	87	 			0	0	 	 	 	 	 	 	1	0	-39097		0
20	Ley reformatoria al código del trabajo y a la ley orgánica de servicio civil y carrera administrativa	A1	P0	B3	2008	1	0	12/9/08										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
21	Ley orgánica electoral	A7	P0	B4	2008	1	0	12/12/08										0	0	0	0	0	1	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
22	Código orgánico de la función judicial	A7	P0	B2	2008	1	0	12/19/08										0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
23	Ley de elecciones de parlamentarios latinoamericanos	A7	P0	B3	2008	1	0	12/23/08	1/26/09	1	2/26/09	1						0	0	1	0	0	0	0	5	1	0	34	65			0	0	31	 	 	 	 	 	1	1	-39097		0
24	Ley de extinción de dominio	A1	P0	B3	2009	1	0	1/9/09										0	0	1	0	0	0	0	8	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
25	Ley de régimen de soberanía alimentaria	A9	P0	B3	2009	1	0	1/21/09										0	0	1	0	0	0	0	9	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
26	Ley orgánica del consejo de participación ciudadana y control social	A7	P1	B4	2009	1	1	5/21/09	6/11/09	1	7/14/09	1	7/14/09	8/13/09	1	9/9/09	0	0	0	0	0	0	1	0			0	21	54	8/13/09	84	0	0	33	63	90	30	57	27	1	1	968		968
27	Ley orgánica de empresas públicas	A5	P1	B2	2009	1	1	5/26/09	6/19/09	1	7/28/09	1	7/28/09	8/26/09	1	10/16/09	0	0	1	0	0	0	0	0			0	24	63	8/26/09	92	0	0	39	68	119	29	80	51	1	1	1005		1005
28	Ley de seguridad pública y del estado	A7	P1	B2	2009	1	1	6/2/09	6/24/09	1	7/24/09	1	7/24/09	8/26/09	1	9/28/09	0	0	1	0	0	0	0	0			0	22	52	8/26/09	85	0	0	30	63	96	33	66	33	1	1	987		987
29	Ley orgánica de garantías jurisdiccionales y control constitucional	A7	P1	B2	2009	1	1	6/11/09	7/9/09	1	7/28/09	1	7/28/09	9/2/09	1	10/22/09	0	0	1	0	0	0	0	0			0	28	47	9/2/09	83	0	0	19	55	105	36	86	50	1	1	1011		1011
30	Ley reformatoria a la ley de régimen monetario y banco del estado	A5	P1	B2	2009	1	1	7/2/09	7/16/09	1	7/30/09	1	7/30/09	8/26/09	1	10/5/09	0	0	1	0	0	0	0	0			0	14	28	8/26/09	55	0	0	14	41	81	27	67	40	1	1	994		994
31	Ley orgánica de servicio público	A1	P1	B2	2009	1	1	7/2/09	10/13/09	1	8/11/10	1	8/11/10	9/3/10	1	10/6/10	0	0	1	0	0	0	0	0			0	103	405	9/3/10	428	0	0	302	325	358	23	56	33	1	1	1360		1360
32	Ley orgánica reformatoria al mandato constituyente 10	A7	P1	B2	2009	1	1	7/9/09	7/24/09	1	9/1/09	1	9/1/09	9/23/09	0	9/30/09	0	0	1	0	0	0	0	0			0	15	54	9/23/09	76	0	0	39	61	68	22	29	7	1	1	989		989
33	Ley orgánica derogatoria y reformatoria de la ley orgánica de régimen provincial	A7	P1	B3	2009	1	1	7/14/09	7/27/09	1	8/25/09	1	8/25/09	9/3/09	1	9/29/09	0	0	0	1	0	0	0	0	1	0	0	13	42	9/3/09	51	0	0	29	38	64	9	35	26	1	1	988		988
34	"Código orgánico de organización territorial, autonomía, y descentralización"	A7	P1	B2	2009	1	1	7/16/09	7/27/09	1	8/11/09	1	8/11/09	9/3/10	1	10/19/10	0	0	1	0	0	0	0	0			0	11	26	9/3/10	414	0	0	15	403	449	388	434	46	1	1	1373		1373
35	Ley de participación ciudadana	A7	P1	B1	2009	1	1	7/23/09	10/1/09	1	2/2/10	1	2/2/10	3/3/10	1	4/20/10	0	0	0	0	0	1	0	0			0	70	194	3/3/10	223	0	0	124	153	201	29	77	48	1	1	1191		1191
36	Ley reformatoria a la ley reformatoria del código de procedimiento penal	A3	P1	B3	2009	1	1	7/31/09	12/22/09	1	2/4/10	1	2/4/10	3/4/10	1	3/29/10	0	0	0	1	0	0	0	0	1	0	0	144	188	3/4/10	216	0	0	44	72	97	28	53	25	1	1	1169		1169
37	Ley reformatoria al código penal	A3	P1	B3	2009	1	1	8/4/09	12/22/09	1	2/4/10	1	2/4/10	3/4/10	1	3/29/10	0	0	0	1	0	0	0	0	1	0	0	140	184	3/4/10	212	0	0	44	72	97	28	53	25	1	1	1169		1169
38	Ley para la administración de los bienes inmuebles del sector público	A1	P0	B2	2009	1	0	8/12/09	1/28/10	1	9/6/10	1						0	1	0	0	0	0	0			0	169	390			0	0	221	 	 	 	 	 	1	1	-39097		0
39	Ley reformatoria a la ley orgánica de la función legislativa	A7	P1	B3	2009	1	1	8/14/09	9/9/09	1	10/22/09	1	10/22/09	10/30/09	0	11/10/09	0	0	0	1	0	0	0	0	1	0	0	26	69	10/30/09	77	0	0	43	51	62	8	19	11	1	1	1030		1030
40	"Ley de datos públicos de los registros de la propiedad, mercantiles o de prendas especiales"	A1	P1	B3	2009	1	1	8/18/09	9/21/09	1	1/26/10	1	1/26/10	3/3/10	1	3/31/10	0	0	0	1	0	0	0	0	1	0	0	34	161	3/3/10	197	0	0	127	163	191	36	64	28	1	1	1171		1171
41	Ley reformatoria a la ley de seguridad social	A5	P1	B3	2009	1	1	8/20/09	7/13/10	1	10/21/10	1	10/21/10	11/3/10	0	11/18/10	0	0	0	1	0	0	0	0	1	0	0	327	427	11/3/10	440	0	0	100	113	128	13	28	15	1	1	1403		1403
42	"Ley orgánica electoral y de organizaciones políticas del Ecuador, Código de la Democracia"	A7	P1	B3	2009	1	1	8/20/09	12/8/10	1	12/28/10	1	12/28/10	12/29/10	0	12/30/10	0	0	0	1	0	0	0	0	1	0	0	475	495	12/29/10	496	0	0	20	21	22	1	2	1	1	1	1445		1445
43	Ley reformatoria a la ley orgánica de transporte terrestre y seguridad vial	A1	P1	B3	2009	1	1	8/20/09	3/5/10	1	1/13/11	1	1/13/11	2/10/11	1	3/29/11	0	0	0	1	0	0	0	0	1	0	0	197	511	2/10/11	539	0	0	314	342	389	28	75	47	1	1	1534		1534
44	"Ley que regula los recursos hídricos, usos y aprovechamiento del agua"	A9	P0	B3	2009	1	0	8/20/09										0	0	1	0	0	0	0	2	1	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
45	Ley de participación ciudadana	A7	P0	B3	2009	1	0	8/24/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
46	Ley reformatoria al código penal	A3	P1	B3	2009	1	1	8/25/09	12/22/09	1	2/4/10	1	2/4/10	3/4/10	1	3/29/10	0	0	0	1	0	0	0	0	1	0	0	119	163	3/4/10	191	0	0	44	72	97	28	53	25	1	1	1169		1169
47	Ley orgánica reformatoria a la ley orgánica de transporte terrestre y seguridad vial	A1	P1	B3	2009	1	1	8/25/09	3/5/10	1	1/13/11	1	1/13/11	2/10/11	1	3/29/11	0	0	0	1	0	0	0	0	1	0	0	192	506	2/10/11	534	0	0	314	342	389	28	75	47	1	1	1534		1534
48	Reformatoria a la ley de régimen tributario interno y a la ley reformatoria para la equidad tributaria	A2	P1	B2	2009	1	1	8/26/09	10/23/09	1	12/3/09	1	12/3/09	12/13/09	0	12/23/09	0	0	1	0	0	0	0	0			0	58	99	12/13/09	109	0	0	41	51	61	10	20	10	1	1	1073		1073
49	Ley reformatoria al código penal	A3	P1	B3	2009	1	1	8/26/09	12/22/09	1	2/4/10	1	2/4/10	3/4/10	1	3/29/10		0	0	1	0	0	0	0	1	0	0	118	162	3/4/10	190	0	0	44	72	97	28	53	25	1	1	1169		1169
50	Ley orgánica de recursos hídricos uso y aprovechamiento del agua	A9	P1	B2	2009	1	1	8/26/09	10/30/09	1	6/24/14	1	6/24/14	7/14/14	1	8/6/14	0	0	1	0	0	0	0	0			0	65	1763	7/14/14	1783	0	0	1698	1718	1741	20	43	23	1	1	2760		2760
51	Ley orgánica reformatoria a la ley orgánica de régimen de soberanía alimentaria	A9	P0	B3	2009	1	0	8/26/09	1/12/12	1								0	0	1	0	0	0	0	1	0	0	869	 			0	0	 	 	 	 	 	 	1	0	-39097		0
52	Ley de casación y revisión	A3	P0	B4	2009	1	0	8/26/09										0	0	0	0	0	1	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
53	Ley de utilización de la asignación general y especial de derechos especiales de giro	A5	P0	B3	2009	1	0	8/27/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
54	Ley orgánica de educación superior	A9	P1	B2	2009	1	1	8/28/09	10/29/09	1	8/4/10	1	8/4/10	9/3/10	1	10/12/10	0	0	1	0	0	0	0	0			0	62	341	9/3/10	371	0	0	279	309	348	30	69	39	1	1	1366		1366
55	Ley orgánica de comunicación libertad de expresión y acceso a la información pública	A3	P1	B3	2009	1	1	8/31/09	11/21/09	1	6/14/13	1	6/14/13	6/21/13	0	6/25/13		0	0	1	0	0	0	0	1	0	0	82	1383	6/21/13	1390	0	0	1301	1308	1312	7	11	4	1	1	2353		2353
56	Ley reformatoria al código penal y código de procedimiento penal para la tipificación y juzgamiento de delitos cometidos en el servicio militar y policial	A3	P1	B2	2009	1	1	9/1/09	11/11/09	1	3/18/10	1	3/18/10	4/15/10	1	5/19/10	0	0	1	0	0	0	0	0			0	71	198	4/15/10	226	0	0	127	155	189	28	62	34	1	1	1220		1220
57	Ley especial de los conservatorios de música y artes	A9	P0	B3	2009	1	0	9/2/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
58	Proyecto de ley organica de consejos barriales	A7	P0	B4	2009	1	0	9/3/09										0	0	0	0	0	1	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
59	Ley orgánica de educación general intercultural	A5	P0	B3	2009	1	0	9/8/09	11/21/09	1	1/11/11	1	1/11/11					0	0	1	0	0	0	0	1	0	0	74	490			0	0	416	 	 	 	 	 	1	1	-39097		0
60	Ley interpretativa a la disposición general séptima de la ley 67	A1	P0	B3	2009	1	0	9/9/09										0	0	1	0	0	0	0	2	1	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
61	Ley orgánica de educación	A9	P0	B4	2009	1	0	9/9/09										0	0	1	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
62	Ley de cultura	A9	P0	B2	2009	1	0	9/14/09	11/21/09	1	11/15/16	1	11/15/16				0	0	1	0	0	0	0	0			0	68	2619			0	0	2551	 	 	 	 	 	1	1	-39097		0
63	Ley de educación	A9	P0	B2	2009	1	0	9/15/09	11/21/09	1	1/11/11	1					0	0	1	0	0	0	0	0			0	67	483			0	0	416	 	 	 	 	 	1	1	-39097		0
64	Ley del deporte y actividad física	A9	P1	B3	2009	1	1	9/16/09	9/20/09	1	6/3/10	1	6/3/10	7/8/10	1	8/11/10		0	0	1	0	0	0	0	1	0	0	4	260	7/8/10	295	0	0	256	291	325	35	69	34	1	1	1304		1304
65	Ley de protección e inmunidad para la comisión de la verdad	A7	P1	B2	2009	1	1	9/22/09	9/24/09	1	1/26/10	1	1/26/10	2/3/10	0	2/11/10	0	0	1	0	0	0	0	0			0	2	126	2/3/10	134	0	0	124	132	140	8	16	8	1	1	1123		1123
66	Ley de seguridad social de las amas de casa	A9	P1	B3	2009	1	1	9/23/09	7/13/10	1	10/21/10	1	10/21/10	11/14/10	0	11/18/10		0	0	1	0	0	0	0	1	0	0	293	393	11/14/10	417	0	0	100	124	128	24	28	4	1	1	1403		1403
67	Ley reformatoria a los artículos 53 y 54 del código penal	A3	P0	B3	2009	1	0	9/23/09	12/8/10	1								0	0	1	0	0	0	0	1	0	0	441	 			0	0	 	 	 	 	 	 	1	0	-39097		0
68	Ley del sistema de educación intercultural bilingüe	A9	P0	B3	2009	1	0	9/24/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
69	Ley reformatoria a la ley orgánica de transporte terrestre y seguridad vial	A1	P1	B2	2009	1	1	9/25/09	3/5/10	1	1/13/11	1	1/13/11	2/10/11	1	3/29/11	0	0	1	0	0	0	0	0			0	161	475	2/10/11	503	0	0	314	342	389	28	75	47	1	1	1534		1534
70	Ley reformatoria del código de procedimiento penal y código penal	A3	P1	B3	2009	1	1	10/5/09	12/22/09	1	2/4/10	1	2/4/10	3/4/10	1	3/29/10	0	0	0	1	0	0	0	0	1	0	0	78	122	3/4/10	150	0	0	44	72	97	28	53	25	1	1	1169		1169
71	"Ley reformatoria al código civil, código de procedimiento civil y código penal"	A3	P0	B3	2009	1	0	10/6/09	11/16/12	1								0	0	1	0	0	0	0	1	0	0	1137	 			0	0	 	 	 	 	 	 	1	0	-39097		0
72	Ley reformatoria a la ley orgánica de la función legislativa	A7	P0	B3	2009	1	0	10/6/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
73	Ley del sistema nacional de cultura	A9	P0	B3	2009	1	0	10/6/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
74	Ley de protección e inmunidad de la comisión encargada de investigar los hechos relacionados con lo ocurrido en angostura el 1 de marzo del 2008	A6	P0	B2	2009	1	0	10/8/09	12/15/09	1	3/25/10	1	3/25/10	4/21/10	1			0	1	0	0	0	0	0			0	68	168	4/21/10	195	0	0	100	127	 	27	 	 	1	1	-39097		0
75	Ley reformatoria al código orgánico de la función judicial	A7	P0	B3	2009	1	0	10/12/09	11/19/10	1	2/8/11	1	2/8/11	3/10/11	0			0	0	1	0	0	0	0	1	0	0	403	484	3/10/11	514	0	0	81	111	 	30	 	 	1	1	-39097		0
76	Ley reformatoria a la ley orgánica de régimen monetario y banco del estado	A5	P0	B2	2009	1	0	10/12/09	4/7/10	1								0	1	0	0	0	0	0			0	177	 			0	0	 	 	 	 	 	 	1	0	-39097		0
77	Proyecto de ley interpretativo del decreto ley 047	A1	P0	B3	2009	1	0	10/12/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
78	Ley reformatoria al código de procedimiento penal y al código penal	A3	P1	B3	2009	1	1	10/13/09	12/22/09	1	2/4/10	1	2/4/10	3/4/10	1	3/13/10	0	0	0	1	0	0	0	0	1	0	0	70	114	3/4/10	142	0	0	44	72	81	28	37	9	1	1	1153		1153
79	Ley orgánica de libre competencia económica	A5	P0	B3	2009	1	0	10/13/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
80	Ley reformatoria a la ley de creación y organización del régimen de comunas	A9	P0	B3	2009	1	0	10/14/09	1/10/12	1								0	0	1	0	0	0	0	1	0	0	818	 			0	0	 	 	 	 	 	 	1	0	-39097		0
81	Ley orgánica de educación	A9	P0	B3	2009	1	0	10/14/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
82	Ley de creacón del contador general del estado	A7	P0	B4	2009	1	0	10/19/09										0	0	0	0	0	1				0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
83	sLey de creación de la universidad estatal de san francisco de azoguez	A8	P0	B3	2009	1	0	10/19/09										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
84	Ley orgánica del sistema nacional de educación intercultural bilingüe	A9	P0	B3	2009	1	0	10/22/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
85	Ley derogatoria al numeral 12 del artículo 606 del código penal	A3	P0	B4	2009	1	0	10/22/09										0	0	0	0	0	1	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
86	Ley reformatoria a la ley de burós de información crediticia	A5	P0	B3	2009	1	0	10/27/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
87	Ley orgánica de la biodiversidad	A9	P0	B3	2009	1	0	11/6/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
88	Ley reformatoria a la ley de seguridad social	A9	P0	B3	2009	1	0	11/10/09	7/12/11	1								0	0	1	0	0	0	0	1	0	0	609	 			0	0	 	 	 	 	 	 	1	0	-39097		0
89	Ley reformatoria a la ley de transplantes y tejidos	A9	P1	B3	2009	1	1	11/18/09	10/22/10	1	1/6/11	1	1/6/11	2/2/11	1	3/4/11	0	0	0	1	0	0	0	0	1	0	0	338	414	2/2/11	441	0	0	76	103	133	27	57	30	1	1	1509		1509
90	Ley reformatoria al código de la niñez y adolescencia	A9	P0	B3	2009	1	0	11/18/09	3/30/11	1								0	0	1	0	0	0	0	1	0	0	497	 			0	0	 	 	 	 	 	 	1	0	-39097		0
91	Orgánica de servicio exterior	A6	P1	B2	2009	1	1	11/19/09	12/17/09	1	12/30/09	1	12/30/09	1/13/10	1			0	1	0	0	0	0	0			0	28	41	1/13/10	55	0	0	13	27	 	14	 	 	1	1	-39097		0
92	Ley de creación de la universidad estatal de santo domingo	A8	P0	B3	2009	1	0	11/24/09										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
93	"Ley reformatoria al código penal, tipificación de sicariato"	A3	P0	B3	2009	1	0	12/1/09	12/8/10	1								0	0	1	0	0	0	0	1	0	0	372	 			0	0	 	 	 	 	 	 	1	0	-39097		0
94	Ley que garantiza la reptriación de los restos de migrantes	A9	P0	B3	2009	1	0	12/1/09	3/16/12	1								0	0	1	0	0	0	0	1	0	0	836	 			0	0	 	 	 	 	 	 	1	0	-39097		0
95	Ley orgánica de comunicación	A9	P0	B3	2009	1	0	12/1/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
96	Ley interpretativa al artículo 216 del código del trabajo	A3	P0	B3	2009	1	0	12/2/09	8/6/12	1								0	0	1	0	0	0	0	1	0	0	978	 			0	0	 	 	 	 	 	 	1	0	-39097		0
97	Ley orgánica para la aplicación de los derechos colectivos consagrados en la declaración de las nnuu	A3	P0	B3	2009	1	0	12/3/09	3/5/10	1								0	0	1	0	0	0	0	1	0	0	92	 			0	0	 	 	 	 	 	 	1	0	-39097		0
